id,created_at,nickname,youtube_url,comment,thumbnail_url,votes,voters,title,updated_at
3,2026-04-13 15:16:11.313723+00,스타크,https://www.youtube.com/watch?v=QUXKib-jfEM,"조회수 1758만, 무슨 말이 더 필요하겠는가",https://img.youtube.com/vi/QUXKib-jfEM/hqdefault.jpg,6,"[""젠틀맨"",""1"",""수리"",""리버"",""링쿠"",""넵튠""]",이마트,2026-04-15 14:34:14.911064+00
4,2026-04-13 15:18:55.614145+00,에린,https://youtu.be/VlfAKvRpzto?si=vF0R_Xt50gR8Qc6k,"성큼 다가오는 여름, 어지러이 지나가는 매일, 떨치기 어려운 생각들 ",https://img.youtube.com/vi/VlfAKvRpzto/hqdefault.jpg,3,"[""젠틀맨"",""프리송"",""링쿠""]","Dominic Fike, Weezer - Think Fast (Official Audio)",2026-04-14 10:41:32.278127+00
5,2026-04-13 15:22:37.028328+00,젠틀맨,https://youtu.be/KD59LJX2r38?si=BJY2CbdxUuzxw9mn,"DJ play that music louder, .... 도입부에서 논란 종결되는 추억의 노래ㅎ",https://img.youtube.com/vi/KD59LJX2r38/hqdefault.jpg,1,"[""링쿠""]",m-flo loves melody. & Ryohei / miss you,2026-04-14 11:38:19.243501+00
6,2026-04-13 15:25:45.041634+00,큐,https://youtu.be/qkJ3P-9ofhE?si=wO_8P7BP24m9ThSI,200OK를 기원하며,https://img.youtube.com/vi/qkJ3P-9ofhE/hqdefault.jpg,3,"[""젠틀맨"",""프리송"",""링쿠""]",MARK 마크 '200' MV,2026-04-15 08:05:55.005503+00
7,2026-04-13 15:29:38.877334+00,쉐인,https://youtu.be/sHOwHwdiUIU?si=NoGZ8mNg0kum2s-j,"새벽 2시를 넘긴, 아련한 그리움 속으로 스며드는 부드러운 몽롱함",https://img.youtube.com/vi/sHOwHwdiUIU/hqdefault.jpg,2,"[""젠틀맨"",""링쿠""]",JORDANN - Café Speed (Official Music Video),2026-04-14 11:30:31.994196+00
8,2026-04-13 15:52:02.075719+00,수리,https://youtu.be/F1rbhDf0h68?si=Mt18qSeWd00VeMkh,"케데헌의 주인공 성우 EJAE가 부른
에스파 Armageddon 데모버전입니닷
솔직히 전 이게 원곡보다 좋아요
뭔가 코딩 다 부실 수 있을 것 같아요ㅎ",https://img.youtube.com/vi/F1rbhDf0h68/hqdefault.jpg,1,"[""링쿠""]",aespa 에스파 - Armageddon Demo Ver. 데모 버전,2026-04-14 11:34:38.41098+00
9,2026-04-13 16:09:08.730591+00,메이슨,https://youtu.be/_XhLIXjUtFg?si=4fPJ-QZyvhIqkUpP,"잡생각 끊고, 집중은 놓치지 않게 몰입을 이어지게 해주는 곡",https://img.youtube.com/vi/_XhLIXjUtFg/hqdefault.jpg,3,"[""젠틀맨"",""프리송"",""링쿠""]",Gesaffelstein - Opr,2026-04-14 13:22:42.896987+00
10,2026-04-14 01:06:33.471043+00,링쿠,https://www.youtube.com/watch?v=OUI4DbnkiYs,"칸예도 이문세 님의 옛사랑을 부르면서 열심히 사는데
나도 열심히 공부해서 성공해야지 하는 마음을 갖게 하는 곡이에요.",https://img.youtube.com/vi/OUI4DbnkiYs/hqdefault.jpg,2,"[""젠틀맨"",""크리스""]",Kanye West - 옛사랑 (이문세),2026-04-14 04:45:31.433479+00
11,2026-04-14 03:47:36.691336+00,레미,https://www.youtube.com/watch?v=pL6KivEkjXU&list=PLN2__r66ZoivhaoiAu2Ovv52I3o3dgdKM,들으면 전투력이 상승하는 느낌과 함께 리듬타면서 작업이 가능합니다.,https://img.youtube.com/vi/pL6KivEkjXU/hqdefault.jpg,1,"[""링쿠""]","‘GAGA’ Official MV | 릴보이 (lIlBOI), pH-1, Woodie Gochild, BIG Naughty (서동현)",2026-04-14 04:13:29.118035+00
12,2026-04-14 04:36:50.098078+00,크리스,https://youtu.be/WNB8BUQCy-4?si=sZ4YsdSvCTUxWyLY,러너들 앞으로의 여정이 즐거운 여행이면 좋겠어요,https://img.youtube.com/vi/WNB8BUQCy-4/hqdefault.jpg,4,"[""빈"",""링쿠"",""리버"",""젠""]",Bonvoyage,2026-04-14 04:48:24.027041+00
13,2026-04-14 04:44:58.205749+00,리버,https://youtu.be/RJvjoFYydCo?si=upygWZePVNDT5Ial,신나요 사랑합시다,https://img.youtube.com/vi/RJvjoFYydCo/hqdefault.jpg,2,"[""크리스"",""링쿠""]",[MV] 까치산 (KACHISAN) - 주제는 사랑 (Theme of Love) / Official Music Video,2026-04-14 11:13:07.756018+00
14,2026-04-14 04:58:38.663531+00,빈,https://www.youtube.com/watch?v=RAPPW_vetZ8&list=RDRAPPW_vetZ8&start_radio=1,함께라서 빛난 시간,https://img.youtube.com/vi/RAPPW_vetZ8/hqdefault.jpg,2,"[""크리스"",""링쿠""]",함께라서 빛난 시간,2026-04-14 10:56:39.634916+00
15,2026-04-14 06:23:03.216215+00,로렌,https://youtu.be/imQDelNtwwU?si=c9HAtNePttxXpYjh,들으면서 작업하다보면 자리를 박차고 달리고 싶게 만들수도..🏃🏃‍♀️,https://img.youtube.com/vi/imQDelNtwwU/hqdefault.jpg,2,"[""프리송"",""링쿠""]",I Run,2026-04-14 13:22:36.485223+00
16,2026-04-14 06:40:51.651417+00,Craig,https://www.youtube.com/watch?v=kxLwGow0Tvw,유로비트. 코드 작성이 200배 빨라집니다.,https://img.youtube.com/vi/kxLwGow0Tvw/hqdefault.jpg,1,"[""링쿠""]",Initial D - Running In The 90s (HD),2026-04-14 10:49:22.413593+00
17,2026-04-14 08:22:43.615586+00,린,https://youtu.be/yYFkhUiwk4k?si=e7Nv6gxk8wvbmSZO,출근 할 때마다 듣는 노래,https://img.youtube.com/vi/yYFkhUiwk4k/hqdefault.jpg,1,"[""링쿠""]",Cherry Roman Candle,2026-04-14 10:45:12.833565+00
18,2026-04-15 14:33:52.107782+00,넵튠,https://www.youtube.com/watch?v=WnbGkSlakSI,헤드셋 끼고 듣는 거 추천함니다,https://img.youtube.com/vi/WnbGkSlakSI/hqdefault.jpg,2,"[""프리송"",""링쿠""]",Boy In Space & NOTD - Therapy (Official Video),2026-04-18 06:23:53.137122+00
19,2026-04-17 12:48:54.283378+00,프리송,https://www.youtube.com/watch?v=IXaMF4FqIkM&list=LL&index=4,"이 곡을 들으면, 제가 봤던 하늘 중에 가장 별이 많던 하늘이 떠올라요!✨ 낭만 속에서 집중하고 싶을 때 자주 듣는 곡입니다.",https://img.youtube.com/vi/IXaMF4FqIkM/hqdefault.jpg,1,"[""링쿠""]",Words,2026-04-18 06:23:51.339087+00
20,2026-04-18 08:01:32.713789+00,헤더,https://www.youtube.com/watch?v=FmUw1MmIYvU,이 노래만 들으면 심장이 빨리 뜁니다...,https://img.youtube.com/vi/FmUw1MmIYvU/hqdefault.jpg,0,[],Bleachers - Rollercoaster (Audio),2026-04-18 08:01:32.713789+00
21,2026-04-29 06:27:22.611102+00,테스터,https://youtu.be/-jVqZ1Myf80?si=hvlhEXPh-GMoa9H7,파도가 내리친다앙,https://img.youtube.com/vi/-jVqZ1Myf80/hqdefault.jpg,0,[],[playlist] 실리카겔부터 델리스파이스까지 | 록 입문자들을 위한 국내 ROCK 30곡,2026-04-29 06:27:22.611102+00